,fldr,sx,sy
289,10171,13375,17437
290,10172,13211,17436
291,10173,13046,17435
292,10174,12881,17436
293,10175,12716,17437
294,10176,12552,17436
295,10177,12387,17436
296,10178,12222,17434
297,10179,12057,17432
298,10180,11893,17431
299,10181,11728,17431
300,10182,11563,17430
301,10183,11398,17429
302,10184,11234,17428
303,10185,11069,17427
304,10186,10904,17426
305,10187,10739,17423
306,10188,10575,17421
307,10189,10410,17417
308,10190,10245,17415
309,10191,10081,17416
310,10192,9916,17415
311,10193,9751,17413
312,10194,9586,17412
313,10195,9422,17412
314,10196,9257,17410
315,10197,9092,17410
316,10198,8927,17408
317,10199,8762,17407
318,10200,8598,17406
319,10201,8433,17404
320,10202,8268,17403
321,10203,8103,17400
322,10204,7939,17400
323,10205,7774,17400
324,10206,7609,17398
325,10207,7444,17396
326,10208,7280,17394
327,10209,7115,17392
328,10210,6950,17392
329,10211,6786,17390
330,10212,6621,17390
331,10213,6456,17389
332,10214,6291,17388
333,10215,6127,17387
334,10216,5962,17386
335,10217,5797,17385
336,10218,5632,17384
337,10219,5467,17382
338,10220,5303,17381
339,10221,5138,17380
340,10222,4973,17379
341,10223,4808,17378
342,10224,4644,17379
343,10225,4479,17374
344,10226,4314,17368
345,10227,4149,17368
346,10228,3985,17369
347,10229,3820,17368
348,10230,3655,17369
349,10231,3490,17368
350,10232,3326,17367
351,10233,3161,17367
352,10234,2996,17368
353,10235,2831,17367
354,10236,2667,17367
355,10237,2502,17366
356,10238,2337,17366
357,10239,2172,17366
358,10240,2008,17366
359,10241,1843,17366
360,10242,1678,17366
361,10243,1513,17365
362,10244,1349,17364
363,10245,1184,17363
364,10246,1020,17363
365,10247,855,17362
366,10248,690,17361
367,10249,525,17361
368,10250,360,17361
369,10251,196,17361
370,10252,31,17361
371,10253,-133,17361
372,10254,-298,17361
373,10255,-462,17359
374,10256,-627,17357
375,10257,-792,17356
376,10258,-957,17356
377,10259,-1122,17355
378,10260,-1286,17354
379,10261,-1451,17353
380,10262,-1616,17352
381,10263,-1780,17352
382,10264,-1945,17352
383,10265,-2110,17353
384,10266,-2275,17353
385,10267,-2439,17352
386,10268,-2604,17351
387,10269,-2769,17349
388,10270,-2934,17343
389,10271,-3098,17339
390,10272,-3263,17338
391,10273,-3428,17340
392,10274,-3593,17340
393,10275,-3757,17340
394,10276,-3922,17339
395,10277,-4087,17337
396,10278,-4252,17336
397,10279,-4417,17336
398,10280,-4581,17335
399,10281,-4746,17334
400,10282,-4911,17333
401,10283,-5076,17333
402,10284,-5240,17333
403,10285,-5405,17332
404,10286,-5570,17332
405,10287,-5735,17330
406,10288,-5899,17326
407,10289,-6064,17325
408,10290,-6229,17323
409,10291,-6394,17322
410,10292,-6558,17320
411,10293,-6723,17317
412,10294,-6888,17316
413,10295,-7052,17314
414,10296,-7217,17314
415,10297,-7382,17313
416,10298,-7547,17314
417,10299,-7712,17314
418,10300,-7876,17309
419,10301,-8042,17306
420,10302,-8206,17306
