,fldr,sx,sy
3244,17257,-42873,13431
3245,17258,-42708,13434
3246,17259,-42543,13440
3247,17260,-42378,13445
3248,17261,-42214,13448
3249,17262,-42049,13449
3250,17263,-41884,13450
3251,17264,-41719,13455
3252,17265,-41554,13453
3253,17266,-41390,13452
3254,17267,-41225,13452
3255,17268,-41060,13450
3256,17269,-40895,13451
3257,17270,-40730,13450
3258,17271,-40566,13449
3259,17272,-40401,13448
3260,17273,-40236,13447
3261,17274,-40072,13448
3262,17275,-39907,13447
3263,17276,-39742,13448
3264,17277,-39578,13450
3265,17278,-39413,13450
3266,17279,-39248,13451
3267,17280,-39083,13449
3268,17281,-38919,13448
3269,17282,-38754,13449
3270,17283,-38589,13450
3271,17284,-38424,13450
3272,17285,-38259,13450
3273,17286,-38095,13451
3274,17287,-37930,13452
3275,17288,-37765,13453
3276,17289,-37600,13455
3277,17290,-37435,13455
3278,17291,-37270,13456
3279,17292,-37106,13453
3280,17293,-36941,13455
3281,17294,-36776,13456
3282,17295,-36611,13459
3283,17296,-36447,13461
3284,17297,-36282,13458
3285,17298,-36117,13459
3286,17299,-35952,13461
3287,17300,-35787,13461
3288,17301,-35622,13460
3289,17302,-35458,13460
3290,17303,-35293,13460
3291,17304,-35128,13461
3292,17305,-34963,13462
3293,17306,-34798,13463
3294,17307,-34634,13464
3295,17308,-34469,13464
3296,17309,-34304,13466
3297,17310,-34140,13472
3298,17311,-33975,13475
3299,17312,-33810,13476
3300,17313,-33645,13477
3301,17314,-33481,13480
3302,17315,-33316,13483
3303,17316,-33151,13486
3304,17317,-32987,13491
3305,17318,-32822,13495
3306,17319,-32657,13499
3307,17320,-32493,13499
3308,17321,-32328,13499
3309,17322,-32163,13500
3310,17323,-31998,13499
3311,17324,-31834,13500
3312,17325,-31669,13500
3313,17326,-31504,13504
3314,17327,-31339,13504
3315,17328,-31175,13504
3316,17329,-31009,13507
3317,17330,-30845,13507
3318,17331,-30680,13507
3319,17332,-30516,13506
3320,17333,-30351,13506
3321,17334,-30186,13505
3322,17335,-30021,13506
3323,17336,-29857,13507
3324,17337,-29692,13507
3325,17338,-29527,13506
3326,17339,-29362,13507
3327,17340,-29197,13510
3328,17341,-29033,13512
3329,17342,-28868,13513
3330,17343,-28703,13515
3331,17344,-28538,13517
3332,17345,-28374,13518
3333,17346,-28209,13520
3334,17347,-28044,13522
3335,17348,-27880,13522
3336,17349,-27715,13523
3337,17350,-27550,13525
3338,17351,-27385,13527
3339,17352,-27220,13525
3340,17353,-27056,13526
3341,17354,-26891,13528
3342,17355,-26726,13530
3343,17356,-26562,13530
3344,17357,-26397,13530
3345,17358,-26232,13532
3346,17359,-26067,13534
3347,17360,-25902,13532
3348,17361,-25738,13530
3349,17362,-25574,13530
3350,17363,-25408,13531
3351,17364,-25244,13533
3352,17365,-25079,13535
3353,17366,-24914,13537
3354,17367,-24749,13540
3355,17368,-24584,13541
3356,17369,-24419,13543
3357,17370,-24255,13543
3358,17371,-24090,13545
3359,17372,-23925,13545
3360,17373,-23761,13545
3361,17374,-23596,13547
3362,17375,-23431,13547
3363,17376,-23266,13548
3364,17377,-23102,13547
3365,17378,-22937,13550
3366,17379,-22772,13551
3367,17380,-22607,13551
3368,17381,-22442,13551
3369,17382,-22278,13551
3370,17383,-22113,13552
3371,17384,-21949,13555
3372,17385,-21784,13557
3373,17386,-21619,13560
3374,17387,-21454,13562
3375,17388,-21290,13563
3376,17389,-21125,13564
3377,17390,-20960,13565
3378,17391,-20795,13567
3379,17392,-20631,13569
3380,17393,-20466,13570
3381,17394,-20301,13572
3382,17395,-20136,13574
3383,17396,-19971,13575
3384,17397,-19807,13575
3385,17398,-19642,13576
3386,17399,-19477,13578
3387,17400,-19312,13577
3388,17401,-19147,13577
3389,17402,-18982,13580
3390,17403,-18818,13582
3391,17404,-18653,13584
3392,17405,-18488,13592
3393,17406,-18322,13595
3394,17407,-18158,13593
3395,17408,-17993,13593
3396,17409,-17828,13595
3397,17410,-17664,13594
3398,17411,-17499,13595
3399,17412,-17334,13599
3400,17413,-17170,13596
3401,17414,-17005,13595
3402,17415,-16841,13595
3403,17416,-16676,13597
3404,17417,-16511,13598
3405,17418,-16346,13599
3406,17419,-16182,13598
3407,17420,-16017,13599
3408,17421,-15852,13601
3409,17422,-15687,13603
3410,17423,-15522,13602
3411,17424,-15358,13603
3412,17425,-15193,13604
3413,17426,-15028,13603
3414,17427,-14864,13606
3415,17428,-14699,13608
3416,17429,-14534,13610
3417,17430,-14369,13610
3418,17431,-14205,13611
3419,17432,-14040,13611
3420,17433,-13875,13610
3421,17434,-13710,13612
3422,17435,-13545,13613
3423,17436,-13381,13612
3424,17437,-13216,13611
3425,17438,-13051,13612
3426,17439,-12887,13612
3427,17440,-12722,13613
3428,17441,-12557,13613
3429,17442,-12392,13613
3430,17443,-12227,13615
3431,17444,-12063,13616
3432,17445,-11897,13625
3433,17446,-11733,13628
3434,17447,-11568,13630
3435,17448,-11403,13630
3436,17449,-11239,13629
3437,17450,-11074,13629
3438,17451,-10910,13628
3439,17452,-10745,13630
3440,17453,-10580,13629
3441,17454,-10415,13628
3442,17455,-10250,13628
3443,17456,-10086,13629
3444,17457,-9921,13630
3445,17458,-9756,13632
3446,17459,-9591,13633
3447,17460,-9427,13632
3448,17461,-9262,13633
3449,17462,-9097,13637
3450,17463,-8932,13640
3451,17464,-8768,13639
3452,17465,-8603,13640
3453,17466,-8438,13641
3454,17467,-8273,13642
3455,17468,-8109,13641
3456,17469,-7944,13644
3457,17470,-7779,13646
3458,17471,-7614,13647
3459,17472,-7450,13646
3460,17473,-7285,13646
3461,17474,-7120,13648
3462,17475,-6956,13649
3463,17476,-6791,13654
3464,17477,-6626,13658
3465,17478,-6461,13659
3466,17479,-6296,13659
3467,17480,-6132,13659
3468,17481,-5967,13661
3469,17482,-5802,13663
3470,17483,-5637,13664
3471,17484,-5472,13664
3472,17485,-5308,13666
3473,17486,-5143,13665
3474,17487,-4978,13667
3475,17488,-4813,13666
3476,17489,-4649,13669
3477,17490,-4484,13671
3478,17491,-4319,13674
3479,17492,-4154,13677
3480,17493,-3989,13677
3481,17494,-3825,13679
3482,17495,-3660,13681
3483,17496,-3495,13682
3484,17497,-3330,13683
3485,17498,-3165,13685
3486,17499,-3001,13685
3487,17500,-2836,13690
3488,17501,-2671,13690
3489,17502,-2506,13690
3490,17503,-2342,13690
3491,17504,-2177,13690
3492,17505,-2012,13690
3493,17506,-1847,13692
3494,17507,-1682,13694
3495,17508,-1518,13696
3496,17509,-1353,13695
3497,17510,-1189,13695
3498,17511,-1024,13696
3499,17512,-859,13697
3500,17513,-694,13697
3501,17514,-530,13696
3502,17515,-365,13698
3503,17516,-200,13698
3504,17517,-35,13701
3505,17518,129,13702
3506,17519,293,13704
3507,17520,458,13703
3508,17521,623,13704
3509,17522,787,13705
3510,17523,952,13706
3511,17524,1117,13705
3512,17525,1281,13705
3513,17526,1446,13706
3514,17527,1611,13707
3515,17528,1776,13709
3516,17529,1941,13712
3517,17530,2106,13716
3518,17531,2270,13716
3519,17532,2435,13716
3520,17533,2600,13715
3521,17534,2765,13715
3522,17535,2929,13716
3523,17536,3094,13715
3524,17537,3259,13717
3525,17538,3423,13720
3526,17539,3588,13721
3527,17540,3753,13722
3528,17541,3918,13726
3529,17542,4083,13724
3530,17543,4247,13724
3531,17544,4412,13726
3532,17545,4576,13726
3533,17546,4741,13727
3534,17547,4906,13727
3535,17548,5071,13727
3536,17549,5236,13729
3537,17550,5400,13730
3538,17551,5565,13732
3539,17552,5730,13736
3540,17553,5894,13737
3541,17554,6060,13737
3542,17555,6224,13735
3543,17556,6389,13738
3544,17557,6554,13736
3545,17558,6718,13737
3546,17559,6883,13737
3547,17560,7048,13739
3548,17561,7213,13740
3549,17562,7378,13740
3550,17563,7542,13742
3551,17564,7707,13742
3552,17565,7872,13742
3553,17566,8036,13741
3554,17567,8201,13742
3555,17568,8366,13743
3556,17569,8531,13745
3557,17570,8695,13745
3558,17571,8860,13743
3559,17572,9025,13743
3560,17573,9190,13743
3561,17574,9354,13743
3562,17575,9519,13746
3563,17576,9684,13745
3564,17577,9849,13749
3565,17578,10013,13749
3566,17579,10178,13751
3567,17580,10343,13751
3568,17581,10508,13755
3569,17582,10672,13755
3570,17583,10837,13756
3571,17584,11002,13755
3572,17585,11167,13756
3573,17586,11331,13758
3574,17587,11496,13759
3575,17588,11661,13760
3576,17589,11826,13760
3577,17590,11990,13760
3578,17591,12155,13760
3579,17592,12320,13761
3580,17593,12485,13761
3581,17594,12650,13760
3582,17595,12814,13759
3583,17596,12979,13761
3584,17597,13144,13769
3585,17598,13308,13771
3586,17599,13473,13772
3587,17600,13638,13771
3588,17601,13803,13771
3589,17602,13967,13772
3590,17603,14132,13773
3591,17604,14297,13773
3592,17605,14462,13773
3593,17606,14626,13775
3594,17607,14791,13775
3595,17608,14956,13773
3596,17609,15121,13776
3597,17610,15285,13777
3598,17611,15450,13779
3599,17612,15615,13779
3600,17613,15780,13777
3601,17614,15944,13778
3602,17615,16109,13780
3603,17616,16274,13780
3604,17617,16439,13780
3605,17618,16604,13784
3606,17619,16768,13784
3607,17620,16933,13786
3608,17621,17098,13789
3609,17622,17262,13791
3610,17623,17427,13794
3611,17624,17592,13792
3612,17625,17757,13794
3613,17626,17921,13795
3614,17627,18086,13796
3615,17628,18251,13796
3616,17629,18416,13797
3617,17630,18580,13798
3618,17631,18745,13798
3619,17632,18910,13800
3620,17633,19075,13802
3621,17634,19240,13805
3622,17635,19404,13806
3623,17636,19569,13808
3624,17637,19734,13807
3625,17638,19899,13809
3626,17639,20063,13810
3627,17640,20228,13809
3628,17641,20392,13809
3629,17642,20557,13810
3630,17643,20722,13811
3631,17644,20887,13812
3632,17645,21052,13815
3633,17646,21216,13816
3634,17647,21381,13816
3635,17648,21546,13818
3636,17649,21711,13820
3637,17650,21875,13820
3638,17651,22040,13821
3639,17652,22205,13822
3640,17653,22370,13822
3641,17654,22534,13822
3642,17655,22699,13824
3643,17656,22864,13826
3644,17657,23029,13826
3645,17658,23193,13828
3646,17659,23358,13828
3647,17660,23523,13837
3648,17661,23688,13844
3649,17662,23852,13847
3650,17663,24017,13847
3651,17664,24182,13845
3652,17665,24347,13844
3653,17666,24512,13843
3654,17667,24676,13844
3655,17668,24841,13842
3656,17669,25005,13844
3657,17670,25170,13845
3658,17671,25335,13844
3659,17672,25500,13844
3660,17673,25664,13844
3661,17674,25829,13846
3662,17675,25994,13845
3663,17676,26158,13846
3664,17677,26323,13847
3665,17678,26488,13850
3666,17679,26653,13852
3667,17680,26818,13854
3668,17681,26982,13855
3669,17682,27147,13857
3670,17683,27312,13860
3671,17684,27477,13863
3672,17685,27642,13866
3673,17686,27806,13871
3674,17687,27971,13877
3675,17688,28136,13882
3676,17689,28302,13888
3677,17690,28467,13886
3678,17691,28632,13887
3679,17692,28797,13899
3680,17693,28963,13907
3681,17694,29128,13906
3682,17695,29292,13904
3683,17696,29457,13906
3684,17697,29621,13905
3685,17698,29786,13904
3686,17699,29951,13902
3687,17700,30115,13898
3688,17701,30280,13893
3689,17702,30444,13885
3690,17703,30608,13885
3691,17704,30772,13884
3692,17705,30937,13883
3693,17706,31102,13889
3694,17707,31267,13895
3695,17708,31432,13899
3696,17709,31597,13903
3697,17710,31762,13906
3698,17711,31927,13908
3699,17712,32092,13909
3700,17713,32257,13912
3701,17714,32421,13911
3702,17715,32586,13912
3703,17716,32751,13913
3704,17717,32916,13913
3705,17718,33080,13913
3706,17719,33245,13912
3707,17720,33410,13909
3708,17721,33574,13908
3709,17722,33739,13907
3710,17723,33903,13908
3711,17724,34068,13911
3712,17725,34232,13910
3713,17726,34397,13910
3714,17727,34562,13912
3715,17728,34727,13912
3716,17729,34891,13914
3717,17730,35056,13916
3718,17731,35221,13916
3719,17732,35386,13915
3720,17733,35550,13914
3721,17734,35715,13914
3722,17735,35880,13919
3723,17736,36044,13919
3724,17737,36209,13918
3725,17738,36374,13917
3726,17739,36538,13918
3727,17740,36703,13922
3728,17741,36868,13922
3729,17742,37033,13923
3730,17743,37198,13924
3731,17744,37362,13923
3732,17745,37527,13924
3733,17746,37692,13925
3734,17747,37856,13926
3735,17748,38021,13929
3736,17749,38186,13929
3737,17750,38351,13928
3738,17751,38516,13929
3739,17752,38680,13931
3740,17753,38845,13933
3741,17754,39010,13936
3742,17755,39175,13938
3743,17756,39339,13940
3744,17757,39504,13943
3745,17758,39669,13941
3746,17759,39833,13940
3747,17760,39998,13940
3748,17761,40162,13940
3749,17762,40327,13942
3750,17763,40492,13944
3751,17764,40657,13944
3752,17765,40822,13945
3753,17766,40986,13944
3754,17767,41151,13946
3755,17768,41316,13948
3756,17769,41481,13947
3757,17770,41645,13950
3758,17771,41810,13954
3759,17772,41975,13953
3760,17773,42140,13955
3761,17774,42305,13955
3762,17775,42469,13955
3763,17776,42634,13955
3764,17777,42799,13957
3765,17778,42963,13959
3766,17779,43128,13961
3767,17780,43293,13964
3768,17781,43458,13970
3769,17782,43623,13970
3770,17783,43788,13968
3771,17784,43952,13968
3772,17785,44117,13969
3773,17786,44282,13969
3774,17787,44446,13968
3775,17788,44611,13969
3776,17789,44776,13969
3777,17790,44940,13969
3778,17791,45105,13971
3779,17792,45270,13972
3780,17793,45434,13972
3781,17794,45599,13973
3782,17795,45764,13973
3783,17796,45929,13973
3784,17797,46093,13976
3785,17798,46258,13976
3786,17799,46423,13978
3787,17800,46588,13980
3788,17801,46753,13982
3789,17802,46918,13982
3790,17803,47082,13981
3791,17804,47247,13983
3792,17805,47412,13984
3793,17806,47577,13985
3794,17807,47741,13988
3795,17808,47906,13989
3796,17809,48071,13990
3797,17810,48236,13993
3798,17811,48401,13994
3799,17812,48566,13997
3800,17813,48730,13998
3801,17814,48895,14001
3802,17815,49060,14000
3803,17816,49224,14001
3804,17817,49389,14003
3805,17818,49554,14008
3806,17819,49719,14014
3807,17820,49884,14014
3808,17821,50049,14013
3809,17822,50213,14012
3810,17823,50378,14016
3811,17824,50543,14017
3812,17825,50708,14016
3813,17826,50872,14017
3814,17827,51037,14018
3815,17828,51202,14019
3816,17829,51367,14019
3817,17830,51532,14017
3818,17831,51696,14019
3819,17832,51861,14022
3820,17833,52026,14025
3821,17834,52191,14023
3822,17835,52355,14021
3823,17836,52520,14024
3824,17837,52685,14025
3825,17838,52850,14025
3826,17839,53015,14027
3827,17840,53180,14028
3828,17841,53344,14028
3829,17842,53509,14033
3830,17843,53674,14034
3831,17844,53839,14034
3832,17845,54004,14033
3833,17846,54169,14033
3834,17847,54334,14036
3835,17848,54499,14040
3836,17849,54663,14037
3837,17850,54828,14035
3838,17851,54993,14037
3839,17852,55157,14034
3840,17853,55322,14036
3841,17854,55486,14037
3842,17855,55651,14040
3843,17856,55816,14043
3844,17857,55980,14042
3845,17858,56145,14043
3846,17859,56310,14045
3847,17860,56475,14045
3848,17861,56639,14046
3849,17862,56804,14048
3850,17863,56969,14049
3851,17864,57133,14050
3852,17865,57298,14055
3853,17966,58273,13695
3854,17967,58373,13572
3855,17968,58447,13433
3856,17969,58494,13284
3857,17970,58519,13130
3858,17971,58539,12975
3859,17972,58560,12817
3860,17973,58579,12657
3861,17974,58601,12496
3862,17975,58627,12336
3863,17976,58649,12172
3864,17977,58679,12006
3865,17978,58705,11837
3866,17979,58731,11670
3867,17980,58755,11520
3868,17981,58776,11363
3869,17982,58801,11202
3870,17983,58827,11041
3871,17984,58852,10883
3872,17985,58875,10723
3873,17986,58901,10566
3874,17987,58926,10410
3875,17988,58952,10253
3876,17989,58976,10096
3877,17990,59000,9938
3878,17991,59023,9780
3879,17992,59049,9622
3880,17993,59073,9465
3881,17994,59098,9306
3882,17995,59126,9149
3883,17996,59150,8992
3884,17997,59172,8834
3885,17998,59202,8678
3886,17999,59226,8519
3887,18000,59254,8360
3888,18001,59278,8200
3889,18002,59305,8041
3890,18003,59331,7882
3891,18004,59355,7724
3892,18005,59380,7565
3893,18006,59405,7406
3894,18007,59430,7249
3895,18008,59456,7094
3896,18009,59481,6938
3897,18010,59504,6782
3898,18011,59529,6626
3899,18012,59555,6469
3900,18013,59580,6311
3901,18014,59607,6153
3902,18015,59631,5995
3903,18016,59656,5836
3904,18017,59680,5677
3905,18018,59706,5519
3906,18019,59732,5361
3907,18020,59757,5205
3908,18021,59782,5049
3909,18022,59808,4894
3910,18023,59832,4740
3911,18024,59855,4590
3912,18025,59881,4439
3913,18026,59905,4287
3914,18027,59929,4131
3915,18028,59957,3973
3916,18029,59983,3809
3917,18030,60009,3645
3918,18031,60034,3483
3919,18032,60061,3326
3920,18033,60088,3173
3921,18034,60111,3022
3922,18035,60136,2873
3923,18036,60160,2726
3924,18037,60185,2579
3925,18038,60208,2430
3926,18039,60232,2282
3927,18041,60282,1975
3928,18042,60307,1822
3929,18043,60333,1669
3930,18044,60358,1517
3931,18045,60381,1364
3932,18046,60407,1211
3933,18047,60432,1056
3934,18048,60457,900
3935,18049,60481,743
3936,18050,60507,585
3937,18051,60533,428
3938,18052,60557,270
3939,18053,60584,114
3940,18054,60609,-41
3941,18055,60634,-194
3942,18056,60660,-345
3943,18057,60685,-495
3944,18058,60710,-644
3945,18059,60738,-793
3946,18060,60762,-941
3947,18061,60785,-1089
3948,18062,60809,-1238
3949,18063,60832,-1388
3950,18064,60858,-1540
3951,18065,60882,-1693
3952,18066,60905,-1844
3953,18067,60925,-1997
3954,18068,60921,-2149
3955,18069,60894,-2297
3956,18070,60844,-2438
3957,18071,60777,-2572
3958,18568,60142,-2995
3959,18569,59976,-3011
3960,18570,59811,-3031
3961,18571,59650,-3050
3962,18572,59489,-3064
3963,18573,59325,-3063
3964,18574,59160,-3051
3965,18575,58996,-3023
3966,18576,58830,-2976
3967,18577,58667,-2896
3968,18578,58500,-2854
3969,18579,58331,-2832
3970,18580,58164,-2844
3971,18581,58000,-2874
3972,18582,57835,-2908
3973,18583,57671,-2945
3974,18584,57506,-2978
3975,18585,57342,-3011
3976,18586,57180,-3054
3977,18587,57021,-3085
3978,18588,56857,-3089
3979,18589,56692,-3083
3980,18590,56527,-3081
3981,18591,56362,-3078
3982,18592,56198,-3078
3983,18593,56033,-3080
3984,18594,55869,-3085
3985,18595,55704,-3082
3986,18596,55539,-3079
3987,18597,55374,-3075
3988,18598,55209,-3074
3989,18599,55044,-3079
3990,18600,54880,-3085
3991,18601,54716,-3087
3992,18602,54551,-3092
3993,18603,54386,-3093
3994,18604,54222,-3094
3995,18605,54056,-3094
3996,18606,53892,-3097
3997,18607,53727,-3100
3998,18608,53562,-3099
3999,18609,53398,-3104
4000,18610,53233,-3103
4001,18611,53068,-3104
4002,18612,52904,-3105
4003,18613,52739,-3103
4004,18614,52574,-3104
4005,18615,52410,-3106
4006,18616,52245,-3108
4007,18617,52079,-3110
4008,18618,51915,-3109
4009,18619,51750,-3108
4010,18620,51586,-3106
4011,18621,51421,-3103
4012,18622,51256,-3107
4013,18623,51091,-3107
4014,18624,50926,-3107
4015,18625,50761,-3107
4016,18626,50596,-3103
4017,18627,50432,-3105
4018,18628,50267,-3108
4019,18629,50102,-3105
4020,18630,49938,-3112
4021,18631,49773,-3113
4022,18632,49609,-3114
4023,18633,49444,-3122
4024,18634,49279,-3127
4025,18635,49115,-3123
4026,18636,48949,-3116
4027,18637,48785,-3127
4028,18638,48620,-3137
4029,18639,48456,-3138
4030,18640,48291,-3135
4031,18641,48127,-3130
4032,18642,47962,-3128
4033,18643,47797,-3122
4034,18644,47633,-3118
4035,18645,47468,-3130
4036,18646,47303,-3130
4037,18647,47138,-3133
4038,18648,46972,-3135
4039,18649,46808,-3142
4040,18650,46642,-3139
4041,18651,46478,-3139
4042,18652,46313,-3142
4043,18653,46149,-3145
4044,18654,45984,-3145
4045,18655,45818,-3145
4046,18656,45655,-3140
4047,18657,45490,-3142
4048,18658,45325,-3153
4049,18659,45160,-3148
4050,18660,44995,-3142
4051,18661,44830,-3150
4052,18662,44666,-3155
4053,18663,44500,-3151
4054,18664,44336,-3147
4055,18665,44171,-3150
4056,18666,44007,-3155
4057,18667,43842,-3151
4058,18668,43677,-3155
4059,18669,43513,-3156
4060,18670,43348,-3154
4061,18671,43183,-3157
4062,18672,43019,-3156
4063,18673,42854,-3154
4064,18674,42689,-3154
4065,18675,42524,-3159
4066,18676,42360,-3160
4067,18677,42195,-3156
4068,18678,42030,-3155
4069,18679,41865,-3161
4070,18680,41701,-3165
4071,18681,41536,-3162
4072,18682,41371,-3162
4073,18683,41206,-3163
4074,18684,41042,-3167
4075,18685,40877,-3165
4076,18686,40712,-3165
4077,18687,40547,-3166
4078,18688,40383,-3168
4079,18689,40217,-3164
4080,18690,40053,-3167
4081,18691,39888,-3164
4082,18692,39724,-3169
4083,18693,39559,-3170
4084,18694,39394,-3170
4085,18695,39229,-3169
4086,18696,39065,-3170
4087,18697,38900,-3175
4088,18698,38735,-3175
4089,18699,38570,-3175
4090,18700,38406,-3176
4091,18701,38240,-3172
4092,18702,38076,-3174
4093,18703,37912,-3176
4094,18704,37748,-3176
4095,18705,37582,-3179
4096,18706,37417,-3178
4097,18707,37253,-3180
4098,18708,37087,-3183
4099,18709,36922,-3182
4100,18710,36758,-3179
4101,18711,36592,-3179
4102,18712,36427,-3185
4103,18713,36263,-3185
4104,18714,36099,-3182
4105,18715,35933,-3186
4106,18716,35769,-3187
4107,18717,35605,-3188
4108,18718,35440,-3191
4109,18719,35276,-3191
4110,18720,35110,-3185
4111,18721,34946,-3186
4112,18722,34781,-3183
4113,18723,34617,-3188
4114,18724,34451,-3191
4115,18725,34287,-3197
4116,18726,34122,-3191
4117,18727,33957,-3192
4118,18728,33792,-3197
4119,18729,33628,-3198
4120,18730,33463,-3199
4121,18731,33298,-3192
4122,18732,33134,-3197
4123,18733,32969,-3202
4124,18734,32805,-3199
4125,18735,32640,-3202
4126,18736,32475,-3201
4127,18737,32309,-3195
4128,18738,32146,-3203
4129,18739,31981,-3198
4130,18740,31816,-3198
4131,18741,31651,-3202
4132,18742,31486,-3207
4133,18743,31322,-3211
4134,18744,31158,-3217
4135,18745,30993,-3211
4136,18746,30828,-3200
4137,18747,30663,-3203
4138,18748,30498,-3210
4139,18749,30333,-3220
4140,18750,30170,-3224
4141,18751,30003,-3213
4142,18752,29839,-3203
4143,18753,29674,-3217
4144,18754,29510,-3223
4145,18755,29345,-3224
4146,18756,29180,-3229
4147,18757,29014,-3217
4148,18758,28851,-3214
4149,18759,28687,-3221
4150,18760,28521,-3224
4151,18761,28356,-3229
4152,18762,28191,-3230
4153,18763,28025,-3228
4154,18764,27861,-3238
4155,18765,27696,-3236
4156,18766,27532,-3234
4157,18767,27367,-3233
4158,18768,27203,-3227
4159,18769,27038,-3230
4160,18770,26874,-3231
4161,18771,26708,-3227
4162,18772,26545,-3234
4163,18773,26379,-3240
4164,18774,26215,-3242
4165,18775,26050,-3233
4166,18776,25885,-3227
4167,18777,25721,-3234
4168,18778,25557,-3245
4169,18779,25392,-3247
4170,18780,25227,-3237
4171,18781,25063,-3235
4172,18782,24898,-3249
4173,18783,24733,-3252
4174,18784,24568,-3258
4175,18785,24403,-3247
4176,18786,24238,-3252
4177,18787,24074,-3259
4178,18788,23908,-3253
4179,18789,23744,-3254
4180,18790,23578,-3251
4181,18791,23414,-3258
4182,18792,23249,-3264
4183,18793,23084,-3265
4184,18794,22920,-3263
4185,18795,22755,-3263
4186,18796,22590,-3264
4187,18797,22426,-3258
4188,18798,22261,-3254
4189,18799,22096,-3258
4190,18800,21932,-3258
4191,18801,21766,-3267
4192,18802,21600,-3263
4193,18803,21436,-3262
4194,18804,21272,-3259
4195,18805,21107,-3264
4196,18806,20943,-3259
4197,18807,20779,-3263
4198,18808,20614,-3267
4199,18809,20449,-3260
4200,18810,20284,-3258
4201,18811,20120,-3259
4202,18812,19955,-3265
4203,18813,19790,-3263
4204,18814,19626,-3261
4205,18815,19461,-3261
4206,18816,19295,-3259
4207,18817,19131,-3259
4208,18818,18966,-3270
4209,18819,18802,-3278
4210,18820,18637,-3279
4211,18821,18472,-3277
4212,18822,18307,-3281
4213,18823,18142,-3279
4214,18824,17978,-3271
4215,18825,17813,-3269
4216,18826,17648,-3272
4217,18827,17483,-3274
4218,18828,17318,-3285
4219,18829,17154,-3280
4220,18830,16990,-3273
4221,18831,16824,-3276
4222,18832,16659,-3277
4223,18833,16494,-3280
4224,18834,16330,-3276
4225,18835,16165,-3274
4226,18836,16000,-3279
4227,18837,15836,-3286
4228,18838,15671,-3289
4229,18839,15506,-3285
4230,18840,15341,-3284
4231,18841,15176,-3286
4232,18842,15012,-3290
4233,18843,14847,-3288
4234,18844,14682,-3287
4235,18845,14517,-3285
4236,18846,14352,-3284
4237,18847,14187,-3283
4238,18848,14023,-3287
4239,18849,13858,-3291
4240,18850,13694,-3292
4241,18851,13529,-3289
4242,18852,13364,-3287
4243,18853,13200,-3291
4244,18854,13035,-3296
4245,18855,12870,-3299
4246,18856,12705,-3298
4247,18857,12541,-3293
4248,18858,12376,-3297
4249,18859,12211,-3298
4250,18860,12046,-3298
4251,18861,11881,-3299
4252,18862,11716,-3305
4253,18863,11552,-3317
4254,18864,11387,-3320
4255,18865,11222,-3319
4256,18866,11058,-3323
4257,18867,10893,-3326
4258,18868,10728,-3327
4259,18869,10563,-3327
4260,18870,10398,-3335
4261,18871,10232,-3326
4262,18872,10060,-3284
4263,18873,9884,-3203
4264,18874,9699,-3071
4265,19387,9732,-1334
4266,19388,9885,-1223
4267,19389,10043,-1147
4268,19390,10208,-1097
4269,19391,10370,-1060
4270,19392,10534,-1055
4271,19393,10700,-1060
4272,19394,10864,-1062
4273,19395,11029,-1063
4274,19396,11194,-1070
4275,19397,11358,-1077
4276,19398,11523,-1073
4277,19399,11688,-1065
4278,19400,11852,-1067
4279,19401,12017,-1069
4280,19402,12182,-1071
4281,19403,12347,-1065
4282,19404,12512,-1056
4283,19405,12676,-1057
4284,19406,12841,-1061
4285,19407,13006,-1059
4286,19408,13171,-1057
4287,19409,13335,-1052
4288,19410,13501,-1043
4289,19411,13665,-1029
4290,19412,13830,-1031
4291,19413,13995,-1029
4292,19414,14160,-1028
4293,19415,14324,-1029
4294,19416,14489,-1029
4295,19417,14654,-1032
4296,19418,14818,-1029
4297,19419,14983,-1024
4298,19420,15148,-1024
4299,19421,15313,-1021
4300,19422,15478,-1025
4301,19423,15642,-1025
4302,19424,15807,-1027
4303,19425,15972,-1027
4304,19426,16137,-1025
4305,19427,16301,-1023
4306,19428,16466,-1019
4307,19429,16631,-1027
4308,19430,16795,-1024
4309,19431,16960,-1024
4310,19432,17125,-1024
4311,19433,17290,-1020
4312,19434,17454,-1018
4313,19435,17619,-1016
4314,19436,17783,-1011
4315,19437,17948,-1011
4316,19438,18113,-1006
4317,19439,18278,-1002
4318,19440,18443,-1001
4319,19441,18608,-1000
4320,19442,18772,-1002
4321,19443,18937,-1002
4322,19444,19102,-1001
4323,19445,19266,-999
4324,19446,19431,-1000
4325,19447,19596,-999
4326,19448,19761,-996
4327,19449,19925,-996
4328,19450,20090,-998
4329,19451,20255,-998
4330,19452,20420,-995
4331,19453,20585,-990
4332,19454,20750,-988
4333,19455,20914,-989
4334,19456,21079,-986
4335,19457,21243,-986
4336,19458,21408,-987
4337,19459,21573,-989
4338,19460,21738,-987
4339,19461,21903,-986
4340,19462,22068,-981
4341,19463,22233,-978
4342,19464,22398,-976
4343,19465,22562,-975
4344,19466,22727,-975
4345,19467,22891,-975
4346,19468,23057,-979
4347,19469,23221,-976
4348,19470,23385,-971
4349,19471,23551,-969
4350,19472,23715,-969
4351,19473,23880,-968
4352,19474,24045,-968
4353,19475,24211,-965
4354,19476,24375,-965
4355,19477,24539,-964
4356,19478,24705,-961
4357,19479,24869,-956
